"State","Year","Arts_Entertain_Rec","Education","Farming","Finance_Insur","Government","Healthcare_Social","Information","Manufacturing","Mining_Quar_Oil_Gas","Retail"
"Texas","2017",0.01702,0.01601,0.01585,0.05932,0.12019,0.09726,0.01487,0.05439,0.02642,0.0963
"Utah","2000",0.01898,0.02109,0.01483,0.05767,0.14756,0.06968,0.02853,0.09482,0.00635,0.1169
"Utah","2017",0.02316,0.03324,0.01109,0.06393,0.12792,0.08429,0.02217,0.0697,0.00691,0.10578
"Vermont","2000",0.0227,0.03741,0.02406,0.03155,0.13157,0.10208,0.01977,0.12076,0.00282,0.12132
"Vermont","2017",0.02759,0.04443,0.02149,0.03185,0.13251,0.13632,0.01377,0.07709,0.00311,0.10766
"Virginia","2000",0.01778,0.01393,0.01391,0.03645,0.18348,0.07339,0.02895,0.08262,0.00259,0.11014
"Virginia","2017",0.02127,0.02096,0.00937,0.04273,0.16799,0.09563,0.01608,0.04758,0.00221,0.09626
"Washington","2000",0.02131,0.01322,0.02276,0.04002,0.15966,0.08582,0.03037,0.09866,0.00159,0.11251
"Washington","2017",0.02389,0.0184,0.01899,0.03808,0.14633,0.10618,0.03136,0.06868,0.00197,0.10462
"West Virginia","2000",0.01463,0.01275,0.02647,0.03247,0.1732,0.11589,0.01803,0.0882,0.02834,0.13138
"West Virginia","2017",0.01636,0.01488,0.0259,0.02928,0.17361,0.14123,0.01161,0.05555,0.03645,0.11669
"Wisconsin","2000",0.01651,0.01451,0.02972,0.04564,0.12239,0.09524,0.01758,0.17721,0.00111,0.11847
"Wisconsin","2017",0.02043,0.0191,0.02209,0.04939,0.11819,0.11663,0.01515,0.13164,0.00189,0.10304
"Wyoming","2000",0.02003,0.00651,0.0392,0.03357,0.19999,0.06899,0.01342,0.03479,0.05752,0.12074
"Wyoming","2017",0.02013,0.01022,0.03746,0.04553,0.18748,0.07511,0.01203,NA,0.06641,0.09744
